Team Number,Mu,Sigma
5144,25.1825,2.54426
3547,25.9462,2.84433
3604,24.1191,2.44737
5090,24.1622,2.47472
815,24.1139,2.74244
123,24.4487,2.56965
1250,23.9079,2.37043
470,24.101,2.48235
5498,23.8027,3.40489
5567,26.3855,2.4202
6618,26.1341,2.50762
4680,25.1384,2.33283
5901,27.5047,2.71133
5915,24.3275,2.52267
240,23.367,3.1848
226,25.1917,2.11029
3542,22.8661,2.51217
2676,21.2929,2.81527
6528,21.7569,2.98895
6136,23.6915,2.7572
6057,21.5796,2.9364
6570,26.1335,3.28241
5050,23.5962,2.94525
5263,23.8277,3.37925
5907,26.6817,2.35257
5619,22.0699,2.39222
6116,22.3903,3.10286
6029,21.3691,3.04794
280,25.9797,2.86291
313,19.1219,3.36225
1528,24.4854,3.20231
4838,22.0297,3.36527
2620,26.3817,3.37137
8,25.0496,3.14013
2473,28.1173,3.48984
5677,27.1145,2.85678
4990,28.3077,3.28247
254,36.2523,3.3823
604,30.8445,3.33164
972,24.4103,3.55722
3482,23.0496,3.72616
1868,23.4867,3.53217
846,24.5713,3.41507
841,24.2087,3.51024
2035,27.9218,3.43262
5026,27.9038,3.27249
100,26.3375,3.85517
4904,25.2402,3.37971
115,27.8209,3.1919
6418,26.5046,3.47464
192,27.1517,2.53897
766,21.9155,3.55234
971,29.7136,3.34704
5924,22.3254,3.49402
751,25.4175,3.17665
114,25.8324,3.11131
2468,25.2285,2.71688
4171,20.9343,3.96962
2135,29.5014,3.28192
5171,24.9644,5.0257
6410,23.0228,5.41364
852,26.5181,3.50314
5905,25.7994,3.91533
5737,22.4954,3.79962
1351,21.3908,4.01177
2813,22.728,3.61791
5104,27.0015,3.03076
1967,24.9118,3.2678
6688,20.7048,5.14336
4159,22.8744,3.55224
6059,23.6871,3.68685
4186,26.0492,3.73956
2643,27.3441,3.60112
299,26.1356,5.42174
6036,24.9112,3.54695
2367,22.2392,3.53294
581,24.4917,3.6229
2489,21.8978,3.7191
6380,20.3747,5.12869
199,26.5505,3.73472
253,20.707,5.07158
5773,23.1815,5.26499
6665,24.0294,3.82285
668,25.0814,3.43608
6619,23.228,3.73463
5940,21.07,3.7831
5027,21.5739,5.00024
1280,22.8598,3.68721
4255,28.3397,3.06859
670,24.3068,3.54474
256,25.3535,5.09798
6039,23.5279,5.28574
5728,25.3465,5.10441
2486,28.1084,2.64334
3309,27.9345,2.69884
3303,26.0683,3.12356
696,28.5148,3.10719
330,31.1548,2.98956
597,28.9152,3.63959
3970,21.5407,3.62793
2493,24.0289,3.69355
4415,26.9669,3.20723
580,25.802,3.24515
1197,25.6667,3.34197
3880,23.7555,3.214
2761,26.0832,3.19651
3512,26.8705,3.07201
294,24.4834,3.49082
3408,26.2879,4.84691
5765,26.1307,4.90412
702,24.2943,3.26898
980,22.9455,3.43742
4619,26.7647,3.25114
4964,26.3521,3.23183
5285,21.1916,3.9194
691,22.8141,3.48191
5510,26.7024,5.22308
5102,24.494,5.0274
4123,23.1891,5.27741
4201,25.1228,3.50364
3952,23.4512,5.23394
4578,23.3721,5.09809
1759,23.063,5.14173
3120,21.5367,5.10099
848,25.0851,5.1831
867,24.2493,5.27528
1452,23.8181,5.08411
5432,21.3433,5.31205
4763,21.5183,3.73546
1515,24.6663,3.3905
6658,16.6104,5.3126
6692,24.7855,5.3269
5669,19.3233,5.13225
6499,25.5695,5.26264
5512,22.1869,5.10769
4470,27.392,3.52825
2659,24.0392,5.44722
1644,21.3528,5.02273
5089,25.7356,3.55004
5107,28.9833,5.25571
6000,23.0082,5.0642
5966,22.7236,5.10364
606,21.8487,5.14922
4999,27.8669,3.80983
4913,26.6531,2.94005
687,25.251,3.73779
207,27.4134,3.63863
4019,24.3677,4.94167
4501,25.8842,3.55021
2960,28.9631,1.84062
67,30.1895,2.26963
1684,27.6773,2.25171
469,29.0981,2.20699
33,29.3096,1.87097
2834,28.1284,2.34338
4810,24.7125,2.2008
5709,26.4248,2.298
6538,25.0002,2.34566
6066,24.7379,2.34111
6582,24.7944,2.36637
2054,26.5286,1.99111
4325,26.1455,2.14093
4967,27.8261,2.2736
2611,27.1248,2.33511
245,25.1383,1.94089
5150,26.129,2.1639
5436,26.7098,2.2141
494,28.0292,2.16485
70,24.1284,2.27513
2474,25.7009,2.20043
5155,27.132,2.32729
3098,25.8615,2.25785
5067,26.6628,2.38663
5547,25.5385,2.20527
3175,22.4079,2.32703
2586,26.2622,2.27924
6425,24.6469,2.39733
5048,26.9588,2.13022
1025,25.2119,2.21728
4327,26.9482,2.3742
3655,24.3814,2.28053
4409,25.568,2.17338
6193,23.8138,2.35541
5069,23.6072,2.35649
5183,26.1386,2.91325
51,30.3113,2.35758
6086,25.6114,2.32427
5505,25.2585,2.18843
3538,28.1972,2.28487
5230,25.2693,2.36968
6121,26.0654,2.68899
5708,25.7251,3.12041
1711,25.7477,2.39328
94,26.5727,2.85934
6087,24.4344,2.8504
3535,24.7912,2.32989
3618,26.1927,2.26104
5533,22.4581,2.93162
5534,21.7885,3.0106
6077,21.9252,2.30766
2075,25.604,2.24892
6753,24.9738,2.35509
4376,23.7985,2.83689
4983,23.5067,2.83595
5560,23.7171,2.85012
6642,22.5053,2.91904
2246,24.4983,3.00686
4398,26.705,2.68494
5247,20.7651,2.91976
6533,19.5983,3.10436
6074,24.3807,2.92248
6573,25.0922,2.84862
5525,22.5252,2.84946
3537,25.5368,2.64779
1896,22.9793,2.88487
6545,23.7926,2.89819
6550,22.5042,2.85281
5314,25.4766,3.00705
6552,24.7119,3.02582
6649,22.4374,4.34196
6005,22.4934,2.93564
2509,32.4154,3.46975
5172,26.9422,3.50437
4207,29.0701,4.53924
2181,31.6331,4.50168
4198,27.03,2.96607
3299,27.2617,4.3298
3278,27.7649,4.64797
3184,25.4471,3.14176
2823,24.6804,3.67167
3026,24.7783,3.99749
2500,26.9634,4.02601
2052,27.9397,3.71628
3007,23.1162,5.17505
6709,26.7998,5.08884
2518,25.6617,4.00394
2502,23.9346,3.84461
3871,26.5458,4.98091
4607,23.0645,3.96269
2846,25.1166,4.25709
5434,23.1043,4.04192
6424,23.0373,3.86677
2879,23.9754,4.67512
4536,32.0991,3.74389
3630,23.1094,4.66565
6175,23.4199,5.47994
2545,27.2813,5.39573
2470,20.4733,5.38267
2511,24.1556,5.44757
3081,24.5514,3.49823
2825,21.9719,5.28336
2232,25.4715,5.36941
3745,23.1835,5.56252
3038,23.722,5.39937
5271,24.7285,5.1752
3751,29.7533,5.29577
3058,25.821,5.36778
6147,22.0785,5.49256
2529,22.2124,5.45129
4664,23.0623,5.23079
3202,24.2296,5.16356
1816,21.2417,4.02461
3082,25.6938,5.21013
3023,26.7852,3.5675
6176,24.8814,5.2993
4229,18.4395,5.35762
3839,23.0905,5.26671
4549,23.4095,3.66577
2480,21.7889,5.28405
2532,23.3015,5.61276
3100,22.4489,3.78139
2498,24.418,5.04651
3300,22.0276,5.49434
2855,23.5711,4.36362
5996,22.8131,5.43398
3244,23.8136,5.23705
2239,24.4303,5.25245
2847,20.8507,5.36312
2513,21.3541,5.50689
3454,25.0044,5.38785
3407,27.0734,5.32424
2508,23.8661,5.22717
5637,27.6361,5.42038
2515,25.1703,5.13783
27,27.0001,2.07223
2137,29.9875,2.18747
4779,25.9942,2.28439
6344,25.6093,2.32063
308,23.9396,2.24591
